Name,Cost,Stops,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Duration,Notes
Jinotega - Managua,21,"Jinotega Nicaragua, Managua Nicaragua","04:00,05:00,06:10,07:30,09:00,10:45,12:00,13:30,15:00,16:00,17:00","04:00,05:00,06:10,07:30,09:00,10:45,12:00,13:30,15:00,16:00,17:00","04:00,05:00,06:10,07:30,09:00,10:45,12:00,13:30,15:00,16:00,17:00","04:00,05:00,06:10,07:30,09:00,10:45,12:00,13:30,15:00,16:00,17:00","04:00,05:00,06:10,07:30,09:00,10:45,12:00,13:30,15:00,16:00,17:00","04:00,05:00,06:10,07:30,09:00,10:45,12:00,13:30,15:00,16:00,17:00","04:00,05:00,06:10,07:30,09:00,10:45,12:00,13:30,15:00,16:00,17:00",217,
Managua - Jinotega,27,"Managua Nicaragua, Jinotega Nicaragua","04:00,05:00,06:30,08:00,10:00,11:00,12:00,13:00,14:00,16:00,17:30","04:00,05:00,06:30,08:00,10:00,11:00,12:00,13:00,14:00,16:00,17:30","04:00,05:00,06:30,08:00,10:00,11:00,12:00,13:00,14:00,16:00,17:30","04:00,05:00,06:30,08:00,10:00,11:00,12:00,13:00,14:00,16:00,17:30","04:00,05:00,06:30,08:00,10:00,11:00,12:00,13:00,14:00,16:00,17:30","04:00,05:00,06:30,08:00,10:00,11:00,12:00,13:00,14:00,16:00,17:30","04:00,05:00,06:30,08:00,10:00,11:00,12:00,13:00,14:00,16:00,17:30",239,
San Rafael del Norte - Managua,24,"San Rafael del Norte Nicaragua, Managua Nicaragua",4:30,4:30,4:30,4:30,4:30,4:30,4:30,56,
Jinotega - Bocay/Cua,24,"Jinotega Nicaragua, El Cua Nicaragua, Bocay Nicaragua","04:00,06:00,08:00,10:00,13:00","04:00,06:00,08:00,10:00,13:00","04:00,06:00,08:00,10:00,13:00","04:00,06:00,08:00,10:00,13:00","04:00,06:00,08:00,10:00,13:00","04:00,06:00,08:00,10:00,13:00","04:00,06:00,08:00,10:00,13:00",174,
Jinotega - La Concordia,19,"Jinotega Nicaragua, La Concordia Nicaragua","05:15,07:15,09:30","05:15,07:15,09:30","05:15,07:15,09:30","05:15,07:15,09:30","05:15,07:15,09:30","05:15,07:15,09:30","05:15,07:15,09:30",263,
San Rafael del Norte - Jinotega,30,"San Rafael del Norte Nicaragua, Jinotega Nicaragua","08:00,09:30","08:00,09:30","08:00,09:30","08:00,09:30","08:00,09:30","08:00,09:30","08:00,09:30",156,Express Micro Bus
Jinotega - Yali/San Rafael del Norte,16,"Jinotega Nicaragua, San Rafael del Norte Nicaragua, Yali Nicaragua","06:00,07:00,09:00","06:00,07:00,09:00","06:00,07:00,09:00","06:00,07:00,09:00","06:00,07:00,09:00","06:00,07:00,09:00","06:00,07:00,09:00",137,
Jinotega - Santa Maria de Pantasma/Wilili,27,"Jinotega Nicaragua, Santa Maria de Pantasma Nicaragua","04:00,06:00,08:45,13:15","04:00,06:00,08:45,13:15","04:00,06:00,08:45,13:15","04:00,06:00,08:45,13:15","04:00,06:00,08:45,13:15","04:00,06:00,08:45,13:15","04:00,06:00,08:45,13:15",289,
Jinotega - Matagalpa,28,"Jinotega Nicaragua, Matagalpa Nicaragua","05:00,05:30,06:00,06:30:07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00","05:00,05:30,06:00,06:30:07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00","05:00,05:30,06:00,06:30:07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00","05:00,05:30,06:00,06:30:07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00","05:00,05:30,06:00,06:30:07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00","05:00,05:30,06:00,06:30:07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00","05:00,05:30,06:00,06:30:07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00",71,
Managua - Matagalpa,21,"Managua Nicaragua, Matagalpa Nicaragua","03:45,04:15,04:45,05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45","03:45,04:15,04:45,05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45","03:45,04:15,04:45,05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45","03:45,04:15,04:45,05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45","03:45,04:15,04:45,05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45","03:45,04:15,04:45,05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45","03:45,04:15,04:45,05:15,05:45,06:15,06:45,07:15,07:45,08:15,08:45,09:15,09:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45",232,"Express: 03:30, 05:30, 06:00, 07:00, 08:00, 09:00, 11:00, 12:30, 13:30, 14:30, 15:30, 17:15, 17:30, 18:00"
